source_case_id,text_original,text_reviewed,topic,ood_label,topic_valid,bank_request_valid,original_single_issue,reviewed_single_issue,review_action,semantic_duplicate_of,closest_known_intent,reviewer_type,audit_note
"faq_real:023","Kỳ hạn vay tín chấp online tại VPBank có thể kéo dài tối đa bao lâu?","Kỳ hạn vay tín chấp online tại VPBank có thể kéo dài tối đa bao lâu?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:024","Lãi suất ưu đãi và lãi suất sau ưu đãi của khoản vay khác nhau ở điểm nào?","Lãi suất ưu đãi và lãi suất sau ưu đãi của khoản vay khác nhau ở điểm nào?","LOAN","1","1","1","1","1","kept","","","codex_ai","So sánh hai giai đoạn lãi suất của khoản vay; LOAN là topic chấp nhận được, INTEREST_RATE là topic phụ."
"faq_real:025","Có nên chọn kỳ hạn vay dài để giảm số tiền phải trả mỗi tháng không?","Có nên chọn kỳ hạn vay dài để giảm số tiền phải trả mỗi tháng không?","LOAN","1","1","1","1","1","kept","","","codex_ai","Hỏi thông tin sản phẩm, điều kiện hoặc thủ tục vay; 77 intent không có nghiệp vụ vay."
"faq_real:026","Techcombank có hỗ trợ gửi tiết kiệm bằng ngoại tệ không?","Techcombank có hỗ trợ gửi tiết kiệm bằng ngoại tệ không?","SAVING","1","1","1","1","1","kept","","fiat_currency_support","codex_ai","Gửi tiết kiệm ngoại tệ khác khả năng giữ hoặc đổi tiền pháp định trong tài khoản."
"faq_real:027","Làm thế nào để kiểm tra số dư tài khoản tiết kiệm tại Techcombank?","Làm thế nào để kiểm tra số dư tài khoản tiết kiệm tại Techcombank?","SAVING","1","1","1","1","1","kept","","balance_not_updated_after_cheque_or_cash_deposit","codex_ai","Hỏi cách xem số dư tiết kiệm, không báo số dư chưa cập nhật sau nộp tiền."
"faq_real:028","Số tiền tối thiểu để mở tài khoản tiết kiệm tại Techcombank là bao nhiêu?","Số tiền tối thiểu để mở tài khoản tiết kiệm tại Techcombank là bao nhiêu?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:029","Tiết kiệm thường và tiết kiệm linh hoạt của Techcombank khác nhau như thế nào?","Tiết kiệm thường và tiết kiệm linh hoạt của Techcombank khác nhau như thế nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:030","Có thể gửi thêm tiền vào khoản Tiền gửi rút gốc linh hoạt của Techcombank không?","Có thể gửi thêm tiền vào khoản Tiền gửi rút gốc linh hoạt của Techcombank không?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:031","Những khách hàng nào được mở Tiền gửi có kỳ hạn online tại Techcombank?","Những khách hàng nào được mở Tiền gửi có kỳ hạn online tại Techcombank?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:032","Doanh nghiệp có những hình thức gửi tiền nào tại ACB?","Doanh nghiệp có những hình thức gửi tiền nào tại ACB?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:033","Tiền gửi có kỳ hạn và tiền gửi không kỳ hạn của doanh nghiệp khác nhau ra sao?","Tiền gửi có kỳ hạn và tiền gửi không kỳ hạn của doanh nghiệp khác nhau ra sao?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:034","Doanh nghiệp có thể rút tiền trước hạn đối với khoản tiền gửi có kỳ hạn không?","Doanh nghiệp có thể rút tiền trước hạn đối với khoản tiền gửi có kỳ hạn không?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:035","Tiết kiệm online là gì và khác gì so với gửi tại quầy?","Tiết kiệm online là gì và khác gì so với gửi tại quầy?","SAVING","1","1","1","1","1","kept","","","codex_ai","Định nghĩa tiết kiệm online thông qua so sánh với gửi tại quầy; một nhu cầu giải thích sản phẩm."
"faq_real:036","Mở sổ tiết kiệm online MSB có cần đến quầy giao dịch không?","Mở sổ tiết kiệm online MSB có cần đến quầy giao dịch không?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:037","Số tiền tối thiểu để gửi tiết kiệm online tại MSB là bao nhiêu?","Số tiền tối thiểu để gửi tiết kiệm online tại MSB là bao nhiêu?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:038","MSB có những kỳ hạn gửi tiết kiệm online nào?","MSB có những kỳ hạn gửi tiết kiệm online nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:039","Khách hàng có thể rút tiền trước hạn nhiều lần khi gửi tiết kiệm MSB không?","Khách hàng có thể rút tiền trước hạn nhiều lần khi gửi tiết kiệm MSB không?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:040","Khách hàng có thể ủy quyền cho người khác tất toán sổ tiết kiệm MSB không?","Khách hàng có thể ủy quyền cho người khác tất toán sổ tiết kiệm MSB không?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:041","Có thể chọn sổ tiết kiệm trực tuyến MSB để tăng lớp bảo mật không?","Có thể chọn sổ tiết kiệm trực tuyến MSB để tăng lớp bảo mật không?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi lựa chọn sản phẩm tiết kiệm trực tuyến vì bảo mật; diễn đạt hơi gượng nhưng nhu cầu rõ."
"faq_real:042","Tiết kiệm trả lãi ngay của MSB hoạt động như thế nào?","Tiết kiệm trả lãi ngay của MSB hoạt động như thế nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:043","Khi gửi tiết kiệm trả lãi ngay, tiền lãi được nhận vào thời điểm nào?","Khi gửi tiết kiệm trả lãi ngay, tiền lãi được nhận vào thời điểm nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:044","Nếu rút trước hạn sản phẩm tiết kiệm trả lãi ngay, khách hàng được hưởng lãi thế nào?","Nếu rút trước hạn sản phẩm tiết kiệm trả lãi ngay, khách hàng được hưởng lãi thế nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:045","Tiết kiệm có kỳ hạn và tiết kiệm không kỳ hạn khác nhau như thế nào?","Tiết kiệm có kỳ hạn và tiết kiệm không kỳ hạn khác nhau như thế nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:046","Tiết kiệm gửi góp phù hợp với nhu cầu tài chính nào?","Tiết kiệm gửi góp phù hợp với nhu cầu tài chính nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:047","Tiết kiệm rút gốc từng phần có ưu điểm gì?","Tiết kiệm rút gốc từng phần có ưu điểm gì?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:048","Gửi tiết kiệm online và gửi tại quầy có phải là hai loại tiết kiệm khác nhau không?","Gửi tiết kiệm online và gửi tại quầy có phải là hai loại tiết kiệm khác nhau không?","SAVING","1","1","1","1","1","kept","faq_real:035","","codex_ai","Cùng nhu cầu so sánh tiết kiệm online và tại quầy với câu 035; cả hai ở test, không rò rỉ split."
"faq_real:049","Khi mở sổ tiết kiệm online MSB, khách hàng thực hiện những bước nào?","Khi mở sổ tiết kiệm online MSB, khách hàng thực hiện những bước nào?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:050","Khách hàng nên chọn loại tiết kiệm nào nếu cần linh hoạt rút một phần tiền?","Khách hàng nên chọn loại tiết kiệm nào nếu cần linh hoạt rút một phần tiền?","SAVING","1","1","1","1","1","kept","","","codex_ai","Hỏi tiền gửi hoặc tiết kiệm; 77 intent không có nghiệp vụ tiết kiệm."
"faq_real:051","Lãi suất gửi tiết kiệm là gì?","Lãi suất gửi tiết kiệm là gì?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:052","Lãi suất tiết kiệm có kỳ hạn là gì?","Lãi suất tiết kiệm có kỳ hạn là gì?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:053","Lãi suất tiết kiệm không kỳ hạn được hiểu như thế nào?","Lãi suất tiết kiệm không kỳ hạn được hiểu như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:054","Những yếu tố nào thường ảnh hưởng đến lãi suất tiết kiệm?","Những yếu tố nào thường ảnh hưởng đến lãi suất tiết kiệm?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:055","Cách tính tiền lãi gửi tiết kiệm chính xác như thế nào?","Cách tính tiền lãi gửi tiết kiệm chính xác như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:056","Lãi suất tiền gửi doanh nghiệp tại ACB được tính theo công thức nào?","Lãi suất tiền gửi doanh nghiệp tại ACB được tính theo công thức nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:057","Lãi suất áp dụng cho khoản tiền gửi có kỳ hạn của doanh nghiệp được xác định vào thời điểm nào?","Lãi suất áp dụng cho khoản tiền gửi có kỳ hạn của doanh nghiệp được xác định vào thời điểm nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:058","Lãi suất vay là gì?","Lãi suất vay là gì?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:059","Lãi suất ưu đãi của khoản vay là gì?","Lãi suất ưu đãi của khoản vay là gì?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:060","Lãi suất sau ưu đãi của khoản vay được xác định như thế nào?","Lãi suất sau ưu đãi của khoản vay được xác định như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:061","Làm thế nào để khách hàng có cơ hội được hưởng lãi suất vay ưu đãi?","Làm thế nào để khách hàng có cơ hội được hưởng lãi suất vay ưu đãi?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:062","Khi lãi suất thay đổi, số tiền phải trả của khoản vay có bị ảnh hưởng không?","Khi lãi suất thay đổi, số tiền phải trả của khoản vay có bị ảnh hưởng không?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:063","Chọn kỳ hạn vay dài có làm tổng tiền lãi phải trả tăng lên không?","Chọn kỳ hạn vay dài có làm tổng tiền lãi phải trả tăng lên không?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:064","Techcombank đang công bố lãi suất tiết kiệm ở đâu?","Techcombank đang công bố lãi suất tiết kiệm ở đâu?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi nơi công bố lãi suất tiết kiệm; khác tỷ giá hối đoái."
"faq_real:065","Lãi suất gửi tiết kiệm Techcombank hiện được tra cứu như thế nào?","Lãi suất gửi tiết kiệm Techcombank hiện được tra cứu như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","faq_real:064","","codex_ai","Diễn đạt lại cách tra cứu lãi suất của câu 064; cùng URL và cùng split."
"faq_real:066","Ngoài lãi suất niêm yết, Techcombank có chính sách cộng thêm lãi suất không?","Ngoài lãi suất niêm yết, Techcombank có chính sách cộng thêm lãi suất không?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi chính sách cộng thêm lãi suất; giao giữa INTEREST_RATE và PROMOTION, đều ngoài 77 intent."
"faq_real:067","Lãi suất vay ngân hàng thường được tính theo dư nợ giảm dần như thế nào?","Lãi suất vay ngân hàng thường được tính theo dư nợ giảm dần như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:068","Lãi suất vay ngân hàng có thể được tính theo dư nợ ban đầu như thế nào?","Lãi suất vay ngân hàng có thể được tính theo dư nợ ban đầu như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:069","Những yếu tố nào có thể làm mức lãi suất vay tiêu dùng thay đổi?","Những yếu tố nào có thể làm mức lãi suất vay tiêu dùng thay đổi?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:070","Lãi suất vay tiêu dùng tín chấp và thế chấp thường khác nhau ra sao?","Lãi suất vay tiêu dùng tín chấp và thế chấp thường khác nhau ra sao?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:071","Lãi suất tiết kiệm có kỳ hạn dành cho khách hàng ưu tiên MSB có gì khác?","Lãi suất tiết kiệm có kỳ hạn dành cho khách hàng ưu tiên MSB có gì khác?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:072","Lãi suất tiền gửi không kỳ hạn dành cho khách hàng ưu tiên MSB được áp dụng thế nào?","Lãi suất tiền gửi không kỳ hạn dành cho khách hàng ưu tiên MSB được áp dụng thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","","codex_ai","Hỏi lãi suất khoản vay, tiền gửi hoặc thẻ; khác tỷ giá và phí giao dịch trong 77 intent."
"faq_real:073","Lãi suất thẻ tín dụng MSB phát sinh trong trường hợp nào?","Lãi suất thẻ tín dụng MSB phát sinh trong trường hợp nào?","INTEREST_RATE","1","1","1","1","1","kept","","card_payment_fee_charged","codex_ai","Lãi suất tín dụng khác phí thanh toán thẻ hoặc phụ phí giao dịch."
"faq_real:074","Lãi suất thẻ VPBank UnionPay FreeWays là bao nhiêu?","Lãi suất thẻ VPBank UnionPay FreeWays là bao nhiêu?","INTEREST_RATE","1","1","1","1","1","kept","","card_payment_fee_charged","codex_ai","Hỏi mức lãi suất thẻ tín dụng, không phải phí thanh toán thẻ."
"faq_real:075","Lãi suất thẻ VPBank S Rewards Mastercard được tính như thế nào?","Lãi suất thẻ VPBank S Rewards Mastercard được tính như thế nào?","INTEREST_RATE","1","1","1","1","1","kept","","card_payment_fee_charged","codex_ai","Hỏi cách tính lãi suất thẻ tín dụng, không phải phí thanh toán thẻ."
"faq_real:076","Khách hàng gửi tiết kiệm Techcombank có thể nhận những ưu đãi nào?","Khách hàng gửi tiết kiệm Techcombank có thể nhận những ưu đãi nào?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
"faq_real:077","Techcombank có chương trình cộng thêm lãi suất ngoài mức niêm yết không?","Techcombank có chương trình cộng thêm lãi suất ngoài mức niêm yết không?","PROMOTION","1","1","1","1","1","kept","faq_real:066","","codex_ai","Gần đồng nghĩa câu 066 nhưng diễn đạt như chương trình khuyến mãi; cùng URL và split."
"faq_real:078","Ưu đãi cho khoản tiền gửi đầu tiên tại Techcombank được áp dụng như thế nào?","Ưu đãi cho khoản tiền gửi đầu tiên tại Techcombank được áp dụng như thế nào?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
"faq_real:079","Chương trình Inspire Day của Techcombank có ưu đãi gì cho tiền gửi mới?","Chương trình Inspire Day của Techcombank có ưu đãi gì cho tiền gửi mới?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
"faq_real:080","Tuần lễ PnP của Techcombank có ưu đãi gì cho khách hàng Priority hoặc Private?","Tuần lễ PnP của Techcombank có ưu đãi gì cho khách hàng Priority hoặc Private?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
"faq_real:081","Happy Monday của Techcombank có ưu đãi gì cho khoản tiền gửi mở mới?","Happy Monday của Techcombank có ưu đãi gì cho khoản tiền gửi mở mới?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
"faq_real:082","Những phương thức thanh toán nào được tính là hợp lệ trong chương trình ưu đãi tài khoản mới của Techcombank?","Những phương thức thanh toán nào được tính là hợp lệ trong chương trình ưu đãi tài khoản mới của Techcombank?","PROMOTION","1","1","1","1","1","kept","","card_acceptance","codex_ai","Phương thức thanh toán đủ điều kiện ưu đãi khác nơi thẻ được chấp nhận."
"faq_real:083","Chương trình ưu đãi tài khoản mới của Techcombank áp dụng trong phạm vi nào?","Chương trình ưu đãi tài khoản mới của Techcombank áp dụng trong phạm vi nào?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
"faq_real:084","Chủ thẻ tín dụng MSB được hưởng những loại ưu đãi nào?","Chủ thẻ tín dụng MSB được hưởng những loại ưu đãi nào?","PROMOTION","1","1","1","1","1","kept","","","codex_ai","Hỏi chương trình ưu đãi, tích điểm hoặc hoàn tiền khuyến mãi; khác refund giao dịch trong 77 intent."
